index,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
138265,opel,Opel Astra,blue,1996-04-01,1996,2300,100,136,Manual,Petrol,8.0,- (g/km),211000.0,Astra GSI16V x20xev
138266,opel,Opel Astra,blue,1996-05-01,1996,3950,55,75,Manual,Petrol,7.3,- (g/km),49721.0,"1.6 GLS Klima,ZV,Klassiker,1.Hd,wenig Km"
138276,opel,Opel Astra,bronze,1996-03-01,1996,1599,55,75,Manual,Petrol,7.3,- (g/km),189540.0,Season
138277,opel,Opel Astra,bronze,1996-09-01,1996,1250,44,60,Manual,Petrol,7.7,182 g/km,175000.0,GL
138280,opel,Opel Astra,blue,1997-05-01,1997,1200,55,75,Manual,Petrol,7.8,184 g/km,113700.0,Cabrio 1.6i Bertone Edition *1.Hand*
138281,opel,Opel Astra,blue,1997-04-01,1997,599,55,75,Manual,Petrol,6.0,- (g/km),192955.0,"Caravan Motion klimaanlage  1,6 L"
138285,opel,Opel Astra,blue,1997-05-01,1997,1800,55,75,Manual,Petrol,8.8,- (g/km),152000.0,Astra f cc
138296,opel,Opel Astra,blue,1998-10-01,1998,3990,74,101,Automatic,Petrol,7.1,171 g/km,74000.0,1.6 Elegance *AUTOMATIK*KLIMA*SHD*74KM*1HD
138297,opel,Opel Astra,blue,1998-06-01,1998,1499,100,136,Manual,Petrol,8.6,207 g/km,171091.0,2
138301,opel,Opel Astra,blue,1998-04-01,1998,2000,55,75,Automatic,Petrol,7.2,- (g/km),164500.0,1.6
138303,opel,Opel Astra,blue,1998-06-01,1998,4100,55,75,Manual,Petrol,6.5,- (g/km),81000.0,Cabrio 1.6i Bertone Edition
138309,opel,Opel Astra,blue,1999-01-01,1999,899,74,101,Manual,Petrol,7.2,172 g/km,269000.0,1.6 16V Comfort+Leder +Kein TUV+NR56
138313,opel,Opel Astra,blue,1999-02-01,1999,2900,74,101,Manual,Petrol,7.1,171 g/km,174000.0,1.6 Elegance
138316,opel,Opel Astra,blue,1999-01-01,1999,2200,85,116,Manual,Petrol,8.5,201 g/km,214108.0,Cabrio 1.8i Bertone Edition
138318,opel,Opel Astra,blue,1999-01-01,1999,650,55,75,Manual,Petrol,7.2,- (g/km),250000.0,"1.6, ohne TÜV, schnell abholbereit!"
138321,opel,Opel Astra,blue,1999-02-01,1999,1890,74,101,Manual,Petrol,7.2,172 g/km,193000.0,1.6 Caravan Comfort
138323,opel,Opel Astra,blue,1999-02-01,1999,2300,74,101,Manual,Petrol,7.0,168 g/km,94000.0,1.6 Comfort TÜV neu
138324,opel,Opel Astra,blue,1999-07-01,1999,999,55,75,Manual,Petrol,7.2,173 g/km,161000.0,1.6 Edition 100
138325,opel,Opel Astra,blue,1999-09-01,1999,1699,74,101,Manual,Petrol,7.0,168 g/km,198500.0,1.6 Edition 100 KLIMA.ALUFELGEN.TÜV NEU
138330,opel,Opel Astra,silver,1999-03-01,1999,1950,55,75,Manual,Petrol,7.2,173 g/km,174146.0,1.6 Comfort
138331,opel,Opel Astra,silver,1999-08-01,1999,3500,100,136,Manual,Petrol,8.6,- (g/km),166085.0,2.0 Edition 100
138332,opel,Opel Astra,silver,1999-05-01,1999,2999,55,75,Manual,Petrol,7.5,180 g/km,67000.0,1.6 TÜV und HU neu bis 05/2025
138334,opel,Opel Astra,silver,1999-05-01,1999,2500,85,116,Automatic,Petrol,7.8,188 g/km,120000.0,A 1.6 Comfort*7 Sitze*Tüv:03/2025*
138337,opel,Opel Astra,silver,1999-04-01,1999,1100,85,116,Manual,Petrol,7.8,- (g/km),200000.0,1.6 Comfort
138338,opel,Opel Astra,silver,1999-04-01,1999,1500,74,101,Manual,Petrol,7.0,168 g/km,195000.0,"1.6 Elegance HU 08/2024, Zahnriemen Kupplung Neu!"
138339,opel,Opel Astra,silver,1999-06-01,1999,1300,74,101,Manual,Petrol,7.1,171 g/km,229000.0,"**1,8,TÜV Neu,7 Sitze,Automatik,Klima,1.Hand *"
138342,opel,Opel Astra,silver,1999-02-01,1999,2500,55,75,Manual,Petrol,7.2,- (g/km),91600.0,A 1.8 Elegance*7 Sitze*Alufelgen*
138344,opel,Opel Astra,silver,1999-09-01,1999,1200,55,75,Manual,Petrol,7.5,180 g/km,225000.0,"1.6 ""Automatik""TÜV/AU neu"
138346,opel,Opel Astra,silver,1999-07-01,1999,2450,74,101,Automatic,Petrol,7.5,179 g/km,159000.0,"1,6 Edition 100  Automatik .KLIMA .Alufelgen.Top"
138349,opel,Opel Astra,blue,2000-10-01,2000,750,74,101,Manual,Petrol,7.2,172 g/km,270000.0,"1.6 Caravan Elegance, KLKIMA, TÜV 10/2023"
138354,opel,Opel Astra,blue,2000-06-01,2000,1300,55,75,Manual,Petrol,7.2,- (g/km),215233.0,Astra 1.6 Sport
138355,opel,Opel Astra,blue,2000-06-01,2000,1600,74,101,Manual,Petrol,7.2,172 g/km,240300.0,1.6 Caravan Comfort
138367,opel,Opel Astra,blue,2000-12-01,2000,3990,108,147,Automatic,Petrol,9.1,219 g/km,124000.0,G Coupe 2.2 16V Sport Automatik*Klima*
138369,opel,Opel Astra,blue,2000-11-01,2000,1000,74,101,Manual,Petrol,7.9,- (g/km),192000.0,Astra Caravan 16V Style
138370,opel,Opel Astra,blue,2000-07-01,2000,1490,74,101,Automatic,Petrol,7.0,168 g/km,193000.0,1.6 AUTOMATIK
