index,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
138261,opel,Opel Corsa,blue,1995-12-01,1995,4990,66,90,Manual,Petrol,100.0,- (g/km),86740.0,1.4i Grand Slam 1.Hand Scheckheftgepflegt
138268,opel,Opel Corsa,blue,1996-07-01,1996,2800,44,60,Manual,Petrol,7.3,- (g/km),138000.0,Corsa Atlanta
138270,opel,Opel Corsa,blue,1996-05-01,1996,899,44,60,Manual,Petrol,6.5,- (g/km),129900.0,Grand Slam
138271,opel,Opel Corsa,blue,1996-07-01,1996,500,33,45,Manual,Petrol,6.5,- (g/km),269000.0,Corsa Atlanta
138273,opel,Opel Corsa,brown,1996-11-01,1996,250,33,45,Manual,Petrol,6.5,- (g/km),183161.0,Corsa Swing
138279,opel,Opel Corsa,blue,1997-09-01,1997,3650,33,45,Manual,Petrol,6.5,154 g/km,24000.0,"City, 24.000km, 1. Hand!"
138282,opel,Opel Corsa,blue,1997-05-01,1997,1450,66,90,Automatic,Petrol,100.0,- (g/km),158558.0,"B Vogue Edition,*Automatik* Vollleder S93 Eco"
138283,opel,Opel Corsa,blue,1997-12-01,1997,1350,40,54,Manual,Petrol,5.8,138 g/km,116000.0,12V Advantage/Servo/TÜV 01.25/gepflegt/
138288,opel,Opel Corsa,blue,1997-03-01,1997,2200,44,60,Manual,Petrol,7.3,175 g/km,56165.0,Atlanta
138290,opel,Opel Corsa,blue,1997-06-01,1997,1280,44,60,Manual,Petrol,7.3,- (g/km),230000.0,Swing
138291,opel,Opel Corsa,blue,1997-12-01,1997,1150,44,60,Manual,Petrol,7.3,175 g/km,240000.0,Swing
138292,opel,Opel Corsa,blue,1997-08-01,1997,1280,44,60,Manual,Petrol,7.3,- (g/km),230000.0,Swing
138302,opel,Opel Corsa,blue,1998-05-01,1998,2200,66,90,Automatic,Petrol,7.4,- (g/km),140000.0,16V Atlanta
138304,opel,Opel Corsa,blue,1998-01-01,1998,1500,66,90,Manual,Petrol,7.4,175 g/km,127000.0,16V Swing
138306,opel,Opel Corsa,silver,1998-09-01,1998,2999,48,65,Automatic,Petrol,6.3,151 g/km,109211.0,1.2 16V World Cup Aut. KLIMA ALU ALLWETTER
138307,opel,Opel Corsa,silver,1998-03-01,1998,1600,40,54,Manual,Petrol,5.8,- (g/km),147000.0,12V Eco
138308,opel,Opel Corsa,silver,1998-08-01,1998,1500,33,45,Manual,Petrol,6.5,154 g/km,251800.0,Swing
138322,opel,Opel Corsa,blue,1999-04-01,1999,1500,40,54,Manual,Petrol,5.8,138 g/km,150000.0,B Eco
138326,opel,Opel Corsa,blue,1999-06-01,1999,1990,40,54,Manual,Petrol,5.8,138 g/km,63291.0,12V City
138327,opel,Opel Corsa,blue,1999-11-01,1999,1700,40,54,Manual,Petrol,5.8,138 g/km,79000.0,12V City
138328,opel,Opel Corsa,blue,1999-10-01,1999,3610,48,65,Automatic,Petrol,6.5,151 g/km,140000.0,Edition 100 Cool - AUTOMATIK - KLIMA -FINANZIERUNG
138341,opel,Opel Corsa,silver,1999-02-01,1999,1700,40,54,Manual,Petrol,5.8,- (g/km),96866.0,1.6 Edition 100
138348,opel,Opel Corsa,blue,2000-09-01,2000,1790,48,65,Manual,Petrol,6.3,- (g/km),114000.0,Corsa 16V Edition 2000 Klima Tüv Neu
138352,opel,Opel Corsa,blue,2000-11-01,2000,750,48,65,Manual,Petrol,6.5,- (g/km),200605.0,Corsa 16V Edition 2000
138353,opel,Opel Corsa,blue,2000-02-01,2000,1500,40,54,Manual,Petrol,5.8,138 g/km,98207.0,mit Panoramadach
138357,opel,Opel Corsa,blue,2000-02-01,2000,420,40,54,Manual,Petrol,5.8,- (g/km),218400.0,Corsa 12V Edition 2000
138373,opel,Opel Corsa,blue,2000-01-01,2000,1900,48,65,Automatic,Petrol,6.3,151 g/km,145500.0,16V City
138374,opel,Opel Corsa,blue,2000-01-01,2000,2990,44,60,Automatic,Petrol,4.6,123 g/km,75000.0,AUTOMATIK*WENIG KM*Auf Wunsch TÜV-ALLES-NEU*1Hd
138376,opel,Opel Corsa,blue,2000-05-01,2000,2200,40,54,Manual,Petrol,5.8,132 g/km,85000.0,Corsa B 1.0*Klimaanlage*Alufelgen*HU/AU Neu*
138381,opel,Opel Corsa,silver,2000-04-01,2000,2399,40,54,Manual,Petrol,5.2,138 g/km,70000.0,"1.0 12V EDITION 2000, 1.Hd., Klima,TÜV Neu"
138382,opel,Opel Corsa,silver,2000-04-01,2000,1750,48,65,Manual,Petrol,6.5,151 g/km,77000.0,16V Edition 2000
138401,opel,Opel Corsa,silver,2000-10-01,2000,1750,66,90,Automatic,Petrol,7.2,- (g/km),207000.0,1.8 16V
138404,opel,Opel Corsa,silver,2000-08-01,2000,1999,40,54,Manual,Petrol,5.8,138 g/km,80277.0,"1.6 Edition 100,Automatik,TÜV NEU,Neu Insp"
138406,opel,Opel Corsa,silver,2000-01-01,2000,3610,48,65,Automatic,Petrol,6.5,151 g/km,142000.0,1.8 16V
138409,opel,Opel Corsa,gold,2000-10-01,2000,1000,40,54,Manual,Petrol,5.8,138 g/km,96000.0,"** TÜV 10/2023, Glasdach, 1.Hand, wenig Km**"
138411,opel,Opel Corsa,gold,2000-03-01,2000,1250,40,54,Manual,Petrol,5.8,138 g/km,125000.0,12V Edition 100 TÜV Neu
138412,opel,Opel Corsa,blue,2001-03-01,2001,1990,43,58,Manual,Petrol,5.6,133 g/km,141300.0,"C 1.0 12V Basis Klima Tüv,- Kundendienst Neu"
138415,opel,Opel Corsa,blue,2001-08-01,2001,1800,55,75,Manual,Petrol,6.3,151 g/km,125788.0,1.2 16V Klimaanlage
138428,opel,Opel Corsa,blue,2001-09-01,2001,1500,40,54,Manual,Petrol,5.8,- (g/km),59471.0,Corsa Edition 2000 Cool
138446,opel,Opel Corsa,grey,2001-08-01,2001,750,43,58,Manual,Petrol,5.6,- (g/km),104400.0,1.6/Automatik /Euro 3 D4 / 87.000 Km. /Nur Export!
138448,opel,Opel Corsa,green,2001-11-01,2001,1000,43,58,Manual,Petrol,5.6,- (g/km),220000.0,1.0 12V
138452,opel,Opel Corsa,red,2001-04-01,2001,1250,43,58,Manual,Petrol,5.6,- (g/km),143000.0,Corsa 1.0 12V Comfort
138454,opel,Opel Corsa,red,2001-04-01,2001,1800,43,58,Manual,Petrol,5.6,133 g/km,118000.0,"C Basis MFL,wenig KM"
138455,opel,Opel Corsa,red,2001-05-01,2001,3000,55,75,Manual,Petrol,6.3,- (g/km),135000.0,1.2 16V Comfort
138456,opel,Opel Corsa,red,2001-09-01,2001,900,55,75,Manual,Petrol,6.3,- (g/km),192780.0,1.2 16V Comfort
138460,opel,Opel Corsa,black,2001-03-01,2001,999,55,75,Automatic,Petrol,6.2,149 g/km,158000.0,C Basis AUTOMATIK KLIMA TÜV 01/2024
138461,opel,Opel Corsa,black,2001-10-01,2001,2599,43,58,Manual,Petrol,5.6,133 g/km,218857.0,C 1.0  Top Gewartet Tüv neu . Sehr schöner Zusta
138466,opel,Opel Corsa,black,2001-12-01,2001,1200,66,90,Manual,Petrol,8.0,- (g/km),116666.0,1.2 16V * TÜV NEU * KLIMA * SERVO * ZV
138467,opel,Opel Corsa,black,2001-03-01,2001,1900,55,75,Manual,Petrol,6.3,154 g/km,169900.0,Omega Caravan 2.2 16 V
138469,opel,Opel Corsa,black,2001-01-01,2001,2800,92,125,Unknown,Petrol,7.9,187 g/km,209000.0,Caravan 2.2 16 V
138471,opel,Opel Corsa,black,2001-03-01,2001,1950,55,75,Manual,Petrol,6.0,143 g/km,236000.0,2.0 DTI Selection Free / Klima / Sitzheizung /Alus
138473,opel,Opel Corsa,black,2001-02-01,2001,1350,55,75,Manual,Petrol,6.3,151 g/km,234733.0,1.6 Caravan Elegance
138475,opel,Opel Corsa,black,2001-04-01,2001,2400,55,75,Manual,Petrol,6.3,151 g/km,87800.0,1.0 12V
138476,opel,Opel Corsa,black,2001-09-01,2001,2000,43,58,Manual,Petrol,5.6,135 g/km,130000.0,1.2 16V Comfort Sport
138477,opel,Opel Corsa,black,2001-02-01,2001,1500,55,75,Manual,Petrol,6.3,- (g/km),169000.0,2.0 DTI Comfort
138481,opel,Opel Corsa,silver,2001-04-01,2001,2970,55,75,Automatic,Petrol,6.2,149 g/km,95000.0,Elegance C - Automatik - 95tkm - TÜV neu - Top
