fold,model,rmse,r2
1,linear_regression,3119.2228143060966,0.8733395548241355
1,xgboost,2663.3182540271364,0.9076590487395012
1,lightgbm,2689.7199020232647,0.9058192107236781
2,linear_regression,3465.2398454141735,0.8669432402932684
2,xgboost,3058.995492782462,0.8963121144871262
2,lightgbm,3054.3740177871464,0.896625177382985
3,linear_regression,3957.120884111577,0.8249115949020338
3,xgboost,3508.355337588882,0.8623722851376514
3,lightgbm,3512.942658424614,0.8620121418930375
4,linear_regression,3546.5379686311107,0.8565714865794363
4,xgboost,3048.851374301317,0.8940017299324707
4,lightgbm,3032.8243440304036,0.895113212322656
5,linear_regression,3603.0709589057647,0.844589748451007
5,xgboost,3205.9757469706947,0.8769576837019357
5,lightgbm,3215.150045914616,0.8762524742922492
