car_model,regressor,split,rmse,r2
Opel Astra,lightgbm,test,2185.1930808330203,0.9126430737508239
Opel Astra,lightgbm,train,1803.8701536652895,0.9434929581919668
Opel Astra,lightgbm,validation,2260.0783286444594,0.9182447760571979
Opel Astra,linear_regression,test,2325.6309640121826,0.9010537559398291
Opel Astra,linear_regression,train,2215.7219621581203,0.9147444714394737
Opel Astra,linear_regression,validation,2347.735767576886,0.9117800182784929
Opel Astra,xgboost,test,2148.1625905797023,0.9155787050486837
Opel Astra,xgboost,train,1704.1867771318093,0.949565652213933
Opel Astra,xgboost,validation,2285.0473491876523,0.9164283574852914
Opel Corsa,lightgbm,test,1652.0065557456924,0.9399743786092606
Opel Corsa,lightgbm,train,1563.415745155906,0.9456773582126025
Opel Corsa,lightgbm,validation,2773.6867809541386,0.8586176409012447
Opel Corsa,linear_regression,test,1866.1790996587986,0.9234015865783908
Opel Corsa,linear_regression,train,1956.7235690690688,0.9149075806543436
Opel Corsa,linear_regression,validation,2895.0092079250035,0.8459788756776737
Opel Corsa,xgboost,test,1672.7939390294212,0.9384542562534585
Opel Corsa,xgboost,train,1473.7444631428177,0.9517301118784498
Opel Corsa,xgboost,validation,2781.5190912458015,0.857818045231867
Volkswagen Golf,lightgbm,test,2717.561668829049,0.9038593555063582
Volkswagen Golf,lightgbm,train,2636.786756248711,0.9212205474203325
Volkswagen Golf,lightgbm,validation,3972.173334361121,0.8171855358014668
Volkswagen Golf,linear_regression,test,3196.7278858967766,0.8669669488558573
Volkswagen Golf,linear_regression,train,3484.0475100122258,0.8624593480814486
Volkswagen Golf,linear_regression,validation,4346.819866340125,0.7810739419830699
Volkswagen Golf,xgboost,test,2677.487268476359,0.90667391630042
Volkswagen Golf,xgboost,train,2518.7860395270586,0.9281138050444679
Volkswagen Golf,xgboost,validation,4016.3736417030477,0.8130943683713701
