index,brand,model,registration_date,year,price_in_euro,power_kw,power_ps,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description,years_since_registration,T_model_age,T_power_kw,T_mileage,T_car_age,mileage_per_year,color_black,color_blue,color_grey,color_other,color_red,color_silver,color_white,transmission_type_Automatic,transmission_type_Manual
138265,opel,Opel Astra,1996-04-01,1996,2300,100,136,Petrol,8.0,- (g/km),211000.0,Astra GSI16V x20xev,29.916666666666668,8.999999999999998,4.605170185988092,5333.320939571378,5.469613027140647,824.3647521416792,False,True,False,False,False,False,False,False,True
138266,opel,Opel Astra,1996-05-01,1996,3950,55,75,Petrol,7.3,- (g/km),49721.0,"1.6 GLS Klima,ZV,Klassiker,1.Hd,wenig Km",29.833333333333332,8.999999999999998,4.007333185232471,1939.0003982600424,5.461989869391313,300.062432385504,False,True,False,False,False,False,False,False,True
138276,opel,Opel Astra,1996-03-01,1996,1599,55,75,Petrol,7.3,- (g/km),189540.0,Season,30.0,8.999999999999998,4.007333185232471,4947.554801980943,5.477225575051661,763.8385825309908,False,False,False,True,False,False,False,False,True
138277,opel,Opel Astra,1996-09-01,1996,1250,44,60,Petrol,7.7,182 g/km,175000.0,GL,29.5,8.999999999999998,3.784189633918261,4678.7154607309,5.431390245600108,727.4811948989939,False,False,False,True,False,False,False,False,True
138280,opel,Opel Astra,1997-05-01,1997,1200,55,75,Petrol,7.8,184 g/km,113700.0,Cabrio 1.6i Bertone Edition *1.Hand*,28.833333333333332,8.776382955329126,4.007333185232471,3459.6512764424383,5.369667897862337,543.1446869629574,False,True,False,False,False,False,False,False,True
138281,opel,Opel Astra,1997-04-01,1997,599,55,75,Petrol,6.0,- (g/km),192955.0,"Caravan Motion klimaanlage  1,6 L",28.916666666666668,8.776382955329126,4.007333185232471,5009.786588447538,5.377421934967226,785.5504370785031,False,True,False,False,False,False,False,False,True
138285,opel,Opel Astra,1997-05-01,1997,1800,55,75,Petrol,8.8,- (g/km),152000.0,Astra f cc,28.833333333333332,8.776382955329126,4.007333185232471,4239.264473216982,5.369667897862337,665.5393249999236,False,True,False,False,False,False,False,False,True
138296,opel,Opel Astra,1998-10-01,1998,3990,74,101,Petrol,7.1,171 g/km,74000.0,1.6 Elegance *AUTOMATIK*KLIMA*SHD*74KM*1HD,27.416666666666668,8.549879733383484,4.30406509320417,2561.3103462640274,5.236092690801669,410.7235849848734,False,True,False,False,False,False,False,True,False
138297,opel,Opel Astra,1998-06-01,1998,1499,100,136,Petrol,8.6,207 g/km,171091.0,2,27.75,8.549879733383484,4.605170185988092,4605.311546550381,5.267826876426369,734.7541081377348,False,True,False,False,False,False,False,False,True
138301,opel,Opel Astra,1998-04-01,1998,2000,55,75,Petrol,7.2,- (g/km),164500.0,1.6,27.916666666666668,8.549879733383484,4.007333185232471,4480.393222475863,5.283622494715786,713.0271155282882,False,True,False,False,False,False,False,True,False
138303,opel,Opel Astra,1998-06-01,1998,4100,55,75,Petrol,6.5,- (g/km),81000.0,Cabrio 1.6i Bertone Edition,27.75,8.549879733383484,4.007333185232471,2728.5977282488852,5.267826876426369,435.3339334421132,False,True,False,False,False,False,False,False,True
138309,opel,Opel Astra,1999-01-01,1999,899,74,101,Petrol,7.2,172 g/km,269000.0,1.6 16V Comfort+Leder +Kein TUV+NR56,27.166666666666668,8.320335292207616,4.30406509320417,6321.593939811536,5.212165257037297,1017.6152240396817,False,True,False,False,False,False,False,False,True
138313,opel,Opel Astra,1999-02-01,1999,2900,74,101,Petrol,7.1,171 g/km,174000.0,1.6 Elegance,27.083333333333332,8.320335292207616,4.30406509320417,4659.984517725478,5.204164998665331,751.1058327313918,False,True,False,False,False,False,False,False,True
