index,brand,model,registration_date,year,price_in_euro,power_kw,power_ps,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description,years_since_registration,T_model_age,T_power_kw,T_mileage,T_car_age,mileage_per_year,color_black,color_blue,color_grey,color_other,color_red,color_silver,color_white,transmission_type_Automatic,transmission_type_Manual
138268,opel,Opel Corsa,1996-07-01,1996,2800,44,60,Petrol,7.3,- (g/km),138000.0,Corsa Atlanta,29.666666666666668,8.999999999999998,3.784189633918261,3962.008112754192,5.446711546122731,614.5781588656743,False,True,False,False,False,False,False,False,True
138270,opel,Opel Corsa,1996-05-01,1996,899,44,60,Petrol,6.5,- (g/km),129900.0,Grand Slam,29.833333333333332,8.999999999999998,3.784189633918261,3797.7502915658533,5.461989869391313,587.7060113564651,False,True,False,False,False,False,False,False,True
138271,opel,Opel Corsa,1996-07-01,1996,500,33,45,Petrol,6.5,- (g/km),269000.0,Corsa Atlanta,29.666666666666668,8.999999999999998,3.4965075614664802,6321.593939811536,5.446711546122731,980.5920265834689,False,True,False,False,False,False,False,False,True
138273,opel,Opel Corsa,1996-11-01,1996,250,33,45,Petrol,6.5,- (g/km),183161.0,Corsa Swing,29.333333333333332,8.999999999999998,3.4965075614664802,4830.400094539944,5.41602560309064,752.864840846818,False,False,False,True,False,False,False,False,True
138279,opel,Opel Corsa,1997-09-01,1997,3650,33,45,Petrol,6.5,154 g/km,24000.0,"City, 24.000km, 1. Hand!",28.5,8.776382955329126,3.4965075614664802,1164.522460168754,5.338539126015656,183.72095478422352,False,True,False,False,False,False,False,False,True
138283,opel,Opel Corsa,1997-12-01,1997,1350,40,54,Petrol,5.8,138 g/km,116000.0,12V Advantage/Servo/TÜV 01.25/gepflegt/,28.25,8.776382955329126,3.6888794541139363,3508.492822913108,5.315072906367325,555.5743971499656,False,True,False,False,False,False,False,False,True
138288,opel,Opel Corsa,1997-03-01,1997,2200,44,60,Petrol,7.3,175 g/km,56165.0,Atlanta,29.0,8.776382955329126,3.784189633918261,2111.6699232093733,5.385164807134504,330.7150225550773,False,True,False,False,False,False,False,False,True
138290,opel,Opel Corsa,1997-06-01,1997,1280,44,60,Petrol,7.3,- (g/km),230000.0,Swing,28.75,8.776382955329126,3.784189633918261,5665.124847051447,5.361902647381804,890.4765069586359,False,True,False,False,False,False,False,False,True
138291,opel,Opel Corsa,1997-12-01,1997,1150,44,60,Petrol,7.3,175 g/km,240000.0,Swing,28.25,8.776382955329126,3.784189633918261,5836.437903088031,5.315072906367325,924.2075253324948,False,True,False,False,False,False,False,False,True
138292,opel,Opel Corsa,1997-08-01,1997,1280,44,60,Petrol,7.3,- (g/km),230000.0,Swing,28.583333333333332,8.776382955329126,3.784189633918261,5665.124847051447,5.346338310781813,892.6603924387312,False,True,False,False,False,False,False,False,True
138302,opel,Opel Corsa,1998-05-01,1998,2200,66,90,Petrol,7.4,- (g/km),140000.0,16V Atlanta,27.833333333333332,8.549879733383484,4.189654742026425,4002.1155633017524,5.275730597114805,637.7130919452915,False,True,False,False,False,False,False,True,False
138304,opel,Opel Corsa,1998-01-01,1998,1500,66,90,Petrol,7.4,175 g/km,127000.0,16V Swing,28.166666666666668,8.549879733383484,4.189654742026425,3738.2006155934882,5.307227776030219,592.6852094671486,False,True,False,False,False,False,False,False,True
138306,opel,Opel Corsa,1998-09-01,1998,2999,48,65,Petrol,6.3,151 g/km,109211.0,1.2 16V World Cup Aut. KLIMA ALU ALLWETTER,27.5,8.549879733383484,3.871201010907891,3363.4615601527507,5.244044240850758,538.6671571203467,False,False,False,False,False,True,False,True,False
138307,opel,Opel Corsa,1998-03-01,1998,1600,40,54,Petrol,5.8,- (g/km),147000.0,12V Eco,28.0,8.549879733383484,3.6888794541139363,4141.161181155613,5.291502622129181,658.2149654662552,False,False,False,False,False,True,False,False,True
138308,opel,Opel Corsa,1998-08-01,1998,1500,33,45,Petrol,6.5,154 g/km,251800.0,Swing,27.583333333333332,8.549879733383484,3.4965075614664802,6035.857917412823,5.251983752196243,965.4308386985973,False,False,False,False,False,True,False,False,True
138322,opel,Opel Corsa,1999-04-01,1999,1500,40,54,Petrol,5.8,138 g/km,150000.0,B Eco,26.916666666666668,8.320335292207616,3.6888794541139363,4200.141109280745,5.188127472091127,678.7418533673822,False,True,False,False,False,False,False,False,True
138326,opel,Opel Corsa,1999-06-01,1999,1990,40,54,Petrol,5.8,138 g/km,63291.0,12V City,26.75,8.320335292207616,3.6888794541139363,2295.828116648481,5.172040216394301,371.9723197120872,False,True,False,False,False,False,False,False,True
138327,opel,Opel Corsa,1999-11-01,1999,1700,40,54,Petrol,5.8,138 g/km,79000.0,12V City,26.333333333333332,8.320335292207616,3.6888794541139363,2681.2602138071898,5.131601439446884,437.2854694301623,False,True,False,False,False,False,False,False,True
138328,opel,Opel Corsa,1999-10-01,1999,3610,48,65,Petrol,6.5,151 g/km,140000.0,Edition 100 Cool - AUTOMATIK - KLIMA -FINANZIERUNG,26.416666666666668,8.320335292207616,3.871201010907891,4002.1155633017524,5.139714648369758,651.8406461063154,False,True,False,False,False,False,False,True,False
138341,opel,Opel Corsa,1999-02-01,1999,1700,40,54,Petrol,5.8,- (g/km),96866.0,1.6 Edition 100,27.083333333333332,8.320335292207616,3.6888794541139363,3092.572974933583,5.204164998665331,498.4672354134475,False,False,False,False,False,True,False,False,True
138348,opel,Opel Corsa,2000-09-01,2000,1790,48,65,Petrol,6.3,- (g/km),114000.0,Corsa 16V Edition 2000 Klima Tüv Neu,25.5,8.087579399090064,3.871201010907891,3466.0386076011455,5.049752469181039,572.9223840575327,False,True,False,False,False,False,False,False,True
138352,opel,Opel Corsa,2000-11-01,2000,750,48,65,Petrol,6.5,- (g/km),200605.0,Corsa 16V Edition 2000,25.333333333333332,8.087579399090064,3.871201010907891,5148.008169267563,5.033222956847166,853.2766327531516,False,True,False,False,False,False,False,False,True
138353,opel,Opel Corsa,2000-02-01,2000,1500,40,54,Petrol,5.8,138 g/km,98207.0,mit Panoramadach,26.083333333333332,8.087579399090064,3.6888794541139363,3122.4803296505715,5.107184482014854,511.2798440666094,False,True,False,False,False,False,False,False,True
138357,opel,Opel Corsa,2000-02-01,2000,420,40,54,Petrol,5.8,- (g/km),218400.0,Corsa 12V Edition 2000,26.083333333333332,8.087579399090064,3.6888794541139363,5463.574178367773,5.107184482014854,894.6142358164454,False,True,False,False,False,False,False,False,True
